time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.499999999999995559e+00
2.000000000000000042e-03,1.328139730223455478e-04,-2.753096348439194071e-04,1.328099825126570210e-01,-2.753016680744785338e-01,0.000000000000000000e+00,-1.499999999999995559e+00
4.000000000000000083e-03,5.312079633735765621e-04,-1.101142851032594272e-03,2.655719932608453515e-01,-5.505075598090229949e-01,0.000000000000000000e+00,-1.499999999999995559e+00
6.000000000000000125e-03,1.195037664338867694e-03,-2.477211519712552504e-03,3.982375387639314201e-01,-8.255208327863308160e-01,0.000000000000000000e+00,-1.499999999999995559e+00
8.000000000000000167e-03,2.124060827882985787e-03,-4.403031877076328190e-03,5.307570851750516017e-01,-1.100242518732263530e+00,0.000000000000000000e+00,-1.499999999999995559e+00
1.000000000000000021e-02,3.317934670189539963e-03,-6.877919222978576275e-03,6.630795458654704655e-01,-1.374570476541725927e+00,0.000000000000000000e+00,-1.499999999999995559e+00
1.200000000000000025e-02,4.776212261385419551e-03,-9.900980544122851140e-03,7.951517786080004591e-01,-1.648398365019840606e+00,0.000000000000000000e+00,-1.499999999999995559e+00
1.400000000000000029e-02,6.498337922248414653e-03,-1.347110510864184089e-02,9.269180960150883442e-01,-1.921614642844870602e+00,0.000000000000000000e+00,-1.499999999999995559e+00
1.600000000000000033e-02,8.483641658369197799e-03,-1.758695309464880854e-02,1.058319793262450625e+00,-2.194101604028662500e+00,0.000000000000000000e+00,-1.499999999999995559e+00
1.800000000000000211e-02,1.073133267073838812e-02,-2.224694233278692868e-02,1.189294697578060722e+00,-2.465734458070626189e+00,0.000000000000000000e+00,-1.499999999999995559e+00
2.000000000000000389e-02,1.324049199118858267e-02,-2.744923326221922547e-02,1.319776744484278286e+00,-2.736380465042490773e+00,0.000000000000000000e+00,-1.499999999999842348e+00
2.200000000000000566e-02,1.601006430164037680e-02,-3.319171222109033870e-02,1.449695586329428521e+00,-3.005898136965255762e+00,0.000000000000000000e+00,-1.499999999999842348e+00
2.400000000000000744e-02,1.903884900773952782e-02,-3.947197321637301720e-02,1.578976239211470789e+00,-3.274136518000239970e+00,0.000000000000000000e+00,-1.499999999999842348e+00
2.600000000000000921e-02,2.232549065023820695e-02,-4.628729834420435701e-02,1.707538774952715555e+00,-3.540934557115829051e+00,0.000000000000000000e+00,-1.499999999999842348e+00
2.800000000000001099e-02,2.586846875131601151e-02,-5.363463706021492222e-02,1.835298065299431958e+00,-3.806120587945909683e+00,0.000000000000000000e+00,-1.499999999999842348e+00
3.000000000000001277e-02,2.966608720783615177e-02,-6.151058452971096269e-02,1.962163585955815526e+00,-4.069511931447462594e+00,0.000000000000000000e+00,-1.499999999999842348e+00
3.200000000000001454e-02,3.371646335909086328e-02,-6.991135931947936588e-02,2.088039288377851577e+00,-4.330914637610622897e+00,0.000000000000000000e+00,-1.499999999999842348e+00
3.400000000000001632e-02,3.801751687262400203e-02,-7.883278072586374918e-02,2.212823547404217717e+00,-4.590123382782596906e+00,0.000000000000000000e+00,-1.499999999999842348e+00
3.600000000000001810e-02,4.256695860785284641e-02,-8.827024606683812891e-02,2.336409192742111784e+00,-4.846921539041901816e+00,0.000000000000000000e+00,-1.499999999999842348e+00
3.800000000000001987e-02,4.736227963297679616e-02,-9.821870829811983616e-02,2.458683632009029285e+00,-5.101081431405589228e+00,0.000000000000000000e+00,-1.499999999999842348e+00
4.000000000000002165e-02,5.240074058549766545e-02,-1.086726543437650516e-01,2.579529072412654944e+00,-5.352364797378363015e+00,0.000000000000000000e+00,-1.499999999978586018e+00
4.200000000000002343e-02,5.767936157993837354e-02,-1.196260845588531657e-01,2.698822847189291441e+00,-5.600523461374939949e+00,0.000000000000000000e+00,-1.499999999978586018e+00
4.400000000000002520e-02,6.319491287733171314e-02,-1.310724937643474031e-01,2.816437851601423237e+00,-5.845300233834786141e+00,0.000000000000000000e+00,-1.499999999978586018e+00
4.600000000000002698e-02,6.894390653896971533e-02,-1.430048543104007475e-01,2.932243091547515057e+00,-6.086430041257778534e+00,0.000000000000000000e+00,-1.499999999978586018e+00
4.800000000000002875e-02,7.492258929100298337e-02,-1.554156016327104817e-01,3.046104345765793919e+00,-6.323641289135740529e+00,0.000000000000000000e+00,-1.499999999978586018e+00
5.000000000000003053e-02,8.112693682599522726e-02,-1.682966227654485170e-01,3.157884940107661187e+00,-6.556657454608027180e+00,0.000000000000000000e+00,-1.499999999978586018e+00
5.200000000000003231e-02,8.755264976174589875e-02,-1.816392482623172544e-01,3.267446629563235838e+00,-6.785198899934987260e+00,0.000000000000000000e+00,-1.499999999978586018e+00
5.400000000000003408e-02,9.419515146603057998e-02,-1.954342479532526489e-01,3.374650580657651222e+00,-7.008984891593723177e+00,0.000000000000000000e+00,-1.499999999978586018e+00
5.600000000000003586e-02,1.010495879379387785e-01,-2.096718309273221115e-01,3.479358443611432428e+00,-7.227735803181101204e+00,0.000000000000000000e+00,-1.499999999978586018e+00
5.800000000000003764e-02,1.081108299120018823e-01,-2.243416500820170356e-01,3.581433500388433888e+00,-7.441175473599390244e+00,0.000000000000000000e+00,-1.499999999978586018e+00
6.000000000000003941e-02,1.153734773203475283e-01,-2.394328115155192616e-01,3.680741871579688684e+00,-7.649033685486341660e+00,0.000000000000000000e+00,-1.499999999966441511e+00
6.200000000000004119e-02,1.228318662110309961e-01,-2.549338889623268822e-01,3.777153762143913074e+00,-7.851048722847675521e+00,0.000000000000000000e+00,-1.499999999966441511e+00
6.400000000000004297e-02,1.304800781781426389e-01,-2.708329433852263435e-01,3.870544723513641650e+00,-8.046969961701552876e+00,0.000000000000000000e+00,-1.499999999966441511e+00
6.600000000000004474e-02,1.383119523122333105e-01,-2.871175477399650622e-01,3.960796907607543993e+00,-8.236560443512823682e+00,0.000000000000000000e+00,-1.499999999966441511e+00
6.800000000000004652e-02,1.463210996293268229e-01,-3.037748168257661807e-01,4.047800287063560987e+00,-8.419599378689509805e+00,0.000000000000000000e+00,-1.499999999966441511e+00
7.000000000000004829e-02,1.545009198848325271e-01,-3.207914420281827717e-01,4.131453815566920262e+00,-8.595884526521325952e+00,0.000000000000000000e+00,-1.499999999966441511e+00
7.200000000000005007e-02,1.628446206267461782e-01,-3.381537306542313215e-01,4.211666502628028219e+00,-8.765234398940474847e+00,0.000000000000000000e+00,-1.499999999966441511e+00
7.400000000000005185e-02,1.713452382924882667e-01,-3.558476494570881332e-01,4.288358378571625273e+00,-8.927490238385471955e+00,0.000000000000000000e+00,-1.499999999966441511e+00
7.600000000000005362e-02,1.799956611074258195e-01,-3.738588718526682508e-01,4.361461327820673084e+00,-9.082517724829099137e+00,0.000000000000000000e+00,-1.499999999966441511e+00
7.800000000000005540e-02,1.887886535023248213e-01,-3.921728282467724647e-01,4.430919771724521006e+00,-9.230208373543815625e+00,0.000000000000000000e+00,-1.499999999966441511e+00
8.000000000000005718e-02,1.977168817332608242e-01,-4.107747588224070490e-01,4.496691186070001400e+00,-9.370480593173375894e+00,0.000000000000000000e+00,-1.499999999999673594e+00
8.200000000000005895e-02,2.067729403621654527e-01,-4.296497680850070999e-01,4.558746442864356041e+00,-9.503280382824991435e+00,0.000000000000000000e+00,-1.499999999999673594e+00
8.400000000000006073e-02,2.159493792401147860e-01,-4.487828804304816455e-01,4.617069970771848553e+00,-9.628581656742866812e+00,0.000000000000000000e+00,-1.499999999999673594e+00
8.600000000000006251e-02,2.252387306292153168e-01,-4.681590959883623060e-01,4.671659733576928986e+00,-9.746386195375610129e+00,0.000000000000000000e+00,-1.499999999999673594e+00
8.800000000000006428e-02,2.346335361025402022e-01,-4.877634459999231620e-01,4.722527030866802811e+00,-9.856723231545563735e+00,0.000000000000000000e+00,-1.499999999999673594e+00
9.000000000000006606e-02,2.441263728746388695e-01,-5.075810470181725265e-01,4.769696129745661928e+00,-9.959648689910856945e+00,0.000000000000000000e+00,-1.499999999999673594e+00
9.200000000000006783e-02,2.537098792369443800e-01,-5.275971532615685300e-01,4.813203740475175962e+00,-1.005524410628703080e+01,0.000000000000000000e+00,-1.499999999999673594e+00
9.400000000000006961e-02,2.633767788017732370e-01,-5.477972065137909352e-01,4.853098352400486704e+00,-1.014361526050048035e+01,0.000000000000000000e+00,-1.499999999999673594e+00
9.600000000000007139e-02,2.731199032941760141e-01,-5.681668830350758981e-01,4.889439449235092106e+00,-1.022489056200824464e+01,0.000000000000000000e+00,-1.499999999999673594e+00
9.800000000000007316e-02,2.829322136710845648e-01,-5.886921370332680592e-01,4.922296624679939114e+00,-1.029921923141129625e+01,0.000000000000000000e+00,-1.499999999999673594e+00
1.000000000000000749e-01,2.928068193903612393e-01,-6.093592403314674888e-01,4.951748620424495151e+00,-1.036676932317687516e+01,0.000000000000000000e+00,-1.499999999999991562e+00
1.020000000000000767e-01,3.027369956968503639e-01,-6.301548179605858113e-01,4.977882308847484616e+00,-1.042772563542519393e+01,0.000000000000000000e+00,-1.499999999999991562e+00
1.040000000000000785e-01,3.127161988368156731e-01,-6.510658794960980655e-01,5.000791642266947612e+00,-1.048228755166026716e+01,0.000000000000000000e+00,-1.499999999999991562e+00
1.060000000000000803e-01,3.227380791548334349e-01,-6.720798460459439516e-01,5.020576589478342733e+00,-1.053066685702946614e+01,0.000000000000000000e+00,-1.499999999999991562e+00
1.080000000000000820e-01,3.327964920671263593e-01,-6.931845728784781224e-01,5.037342078679243329e+00,-1.057308556831531732e+01,0.000000000000000000e+00,-1.499999999999991562e+00
1.100000000000000838e-01,3.428855069415348567e-01,-7.143683677536873944e-01,5.051196963837257137e+00,-1.060977381265838204e+01,0.000000000000000000e+00,-1.499999999999991562e+00
